Filename,Buggy/Deleted,Fixed/Added
MappedResult.java,return MapOp.VALUE == this.getOperation();,if (this != null ) return MapOp.VALUE == this.getOperation();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
MapperTest.java,BResource br = cr.getB();,if (cr != null ) BResource br = cr.getB();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
FlatCollectionMapping.java,List<Id> actual = map.getIds();,if (map != null ) List<Id> actual = map.getIds();
FlatCollectionMapping.java,List<Id> actual = map.getIds();,if (map != null ) List<Id> actual = map.getIds();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
AssertMapping.java,ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) ReplaceTransformation assertedReplaceTransformation = sameTransformation.get();
Properties.java,String getter = pd.getReadMethod().getName();,if (pd != null ) String getter = pd.getReadMethod().getName();
Properties.java,String setter = pd.getWriteMethod().getName();,if (pd != null ) String setter = pd.getWriteMethod().getName();
CollectionsTest.java,List<BResource> brs = ar.getBs();,if (ar != null ) List<BResource> brs = ar.getBs();
CollectionsTest.java,List<BResource> brs = ar.getBs();,if (ar != null ) List<BResource> brs = ar.getBs();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
Mapping.java,Constructor<D> constructor = destination.getConstructor();,if (destination != null ) Constructor<D> constructor = destination.getConstructor();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
