Filename,Buggy/Deleted,Fixed/Added
VPackDeserializers.java,final VPackSlice entry = storedValueIterator.next();,if (storedValueIterator != null ) final VPackSlice entry = storedValueIterator.next();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice slice = builder.slice();,if (builder != null ) final VPackSlice slice = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice slice = builder.slice();,if (builder != null ) final VPackSlice slice = builder.slice();
VPackSerializeDeserializeTest.java,final UUID uuid = UUID.randomUUID();,if (UUID != null ) final UUID uuid = UUID.randomUUID();
VPackSerializeDeserializeTest.java,final VPack vpacker = new VPack.Builder().build();,if (VPack != null ) final VPack vpacker = new VPack.Builder().build();
VPackSerializeDeserializeTest.java,"entity.foo = ""bar"".getBytes();","if (""bar"" != null ) entity.foo = ""bar"".getBytes();"
ArangoSerializationTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
HttpConnection.java,final String database = request.getDbName().get();,if (request != null ) final String database = request.getDbName().get();
ArangoDBTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
ArangoDBTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
ArangoDBTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
HttpConnection.java,final String database = request.getDatabase();,if (request != null ) final String database = request.getDatabase();
ArangoSearchTest.java,"String fullyQualifiedName = db.name() + ""::"" + options.getName();","if (options != null ) String fullyQualifiedName = db.name() + ""::"" + options.getName();"
ArangoSearchTest.java,"String fullyQualifiedName = db.name() + ""::"" + analyzer.getName();","if (analyzer != null ) String fullyQualifiedName = db.name() + ""::"" + analyzer.getName();"
ArangoSearchTest.java,"String fullyQualifiedName = db.name() + ""::"" + analyzer.getName();","if (analyzer != null ) String fullyQualifiedName = db.name() + ""::"" + analyzer.getName();"
ArangoSearchTest.java,"String fullyQualifiedName = db.name() + ""::"" + options.getName();","if (options != null ) String fullyQualifiedName = db.name() + ""::"" + options.getName();"
FallbackHostHandler.java,final boolean inBound = index < hosts.size();,if (hosts != null ) final boolean inBound = index < hosts.size();
BaseDocumentTest.java,final Builder builder = new VPack.Builder();,if (VPack != null ) final Builder builder = new VPack.Builder();
BaseDocumentTest.java,final VPack vpacker = builder.build();,if (builder != null ) final VPack vpacker = builder.build();
BaseDocumentTest.java,final VPack vpacker = vbuilder.build();,if (vbuilder != null ) final VPack vpacker = vbuilder.build();
ArangoDatabaseTest.java,final QueryEntity queryEntity = currentlyRunningQueries.iterator().next();,if (currentlyRunningQueries != null ) final QueryEntity queryEntity = currentlyRunningQueries.iterator().next();
ArangoDatabaseTest.java,final QueryEntity queryEntity = currentlyRunningQueries.iterator().next();,if (currentlyRunningQueries != null ) final QueryEntity queryEntity = currentlyRunningQueries.iterator().next();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ArangoDBTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
BaseTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
CommunicationTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ConcurrencyTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
ExampleBase.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
AQLActorsAndMoviesExample.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
BaseGraphTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
SslExample.java,final ArangoDBVersion version = arangoDB.getVersion();,if (arangoDB != null ) final ArangoDBVersion version = arangoDB.getVersion();
ArangoDBTest.java,final ArangoDBVersion version = arangoDB.getVersion();,if (arangoDB != null ) final ArangoDBVersion version = arangoDB.getVersion();
ArangoDBTest.java,final Boolean resultDelete = arangoDB.db(dbName).drop();,if (arangoDB != null ) final Boolean resultDelete = arangoDB.db(dbName).drop();
ArangoDBTest.java,DatabaseEntity info = arangoDB.db(dbName).getInfo();,if (arangoDB != null ) DatabaseEntity info = arangoDB.db(dbName).getInfo();
ArangoDBTest.java,final Boolean resultDelete = arangoDB.db(dbName).drop();,if (arangoDB != null ) final Boolean resultDelete = arangoDB.db(dbName).drop();
ArangoDBTest.java,DatabaseEntity info = arangoDB.db(dbName).getInfo();,if (arangoDB != null ) DatabaseEntity info = arangoDB.db(dbName).getInfo();
ArangoDBTest.java,final Boolean resultDelete = arangoDB.db(dbName).drop();,if (arangoDB != null ) final Boolean resultDelete = arangoDB.db(dbName).drop();
