Filename,Buggy/Deleted,Fixed/Added
JavassistCompilerStrategy.java,compiledClass = byteCodeClass.toClass(sourceCode.getPackageNeighbour());,if (byteCodeClass != null ) compiledClass = byteCodeClass.toClass(sourceCode.getPackageNeighbour());
CollectionTestCase.java,Set<String> sourceSet = new HashSet<>(source.getTags());,if (HashSet<>(source != null ) Set<String> sourceSet = new HashSet<>(source.getTags());
CollectionTestCase.java,Set<String> destSet = new HashSet<>(destination.getTags());,if (HashSet<>(destination != null ) Set<String> destSet = new HashSet<>(destination.getTags());
CollectionTestCase.java,Set<String> sourceSet = new HashSet<>(source.getTags());,if (HashSet<>(source != null ) Set<String> sourceSet = new HashSet<>(source.getTags());
CollectionTestCase.java,Set<String> destSet = new HashSet<>(destination.getTags());,if (HashSet<>(destination != null ) Set<String> destSet = new HashSet<>(destination.getTags());
CollectionTestCase.java,Set<String> sourceSet = new HashSet<>(source.getTags());,if (HashSet<>(source != null ) Set<String> sourceSet = new HashSet<>(source.getTags());
CollectionTestCase.java,Set<String> destSet = new HashSet<>(destination.getTags());,if (HashSet<>(destination != null ) Set<String> destSet = new HashSet<>(destination.getTags());
ObjectCollectionTestCase.java,DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();,if (DefaultMapperFactory != null ) DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();
ObjectCollectionTestCase.java,MapperFactory factory = builder.build();,if (builder != null ) MapperFactory factory = builder.build();
ObjectCollectionTestCase.java,MapperFacade mapperFacade = factory.getMapperFacade();,if (factory != null ) MapperFacade mapperFacade = factory.getMapperFacade();
Validations.java,List<Book> sortedBooks = library.getBooks();,if (library != null ) List<Book> sortedBooks = library.getBooks();
Validations.java,List<BookDTO> sortedDTOs = dto.getBooks();,if (dto != null ) List<BookDTO> sortedDTOs = dto.getBooks();
Validations.java,List<BookNested> sortedBooks = library.getBooks();,if (library != null ) List<BookNested> sortedBooks = library.getBooks();
Validations.java,List<BookDTO> sortedDTOs = dto.getBooks();,if (dto != null ) List<BookDTO> sortedDTOs = dto.getBooks();
AutomaticStringConversionTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
AutomaticStringConversionTestCase.java,MapperFacade facade = factory.getMapperFacade();,if (factory != null ) MapperFacade facade = factory.getMapperFacade();
CustomMergerTest.java,Iterator<Entity> entitiesIter = entities.getEntities().iterator();,if (entities != null ) Iterator<Entity> entitiesIter = entities.getEntities().iterator();
CustomMergerTest.java,Iterator<Entity> originalIter = originalEntities.getEntities().iterator();,if (originalEntities != null ) Iterator<Entity> originalIter = originalEntities.getEntities().iterator();
CustomMergerTest.java,Entity e = entitiesIter.next();,if (entitiesIter != null ) Entity e = entitiesIter.next();
CustomMergerTest.java,Entity o = originalIter.next();,if (originalIter != null ) Entity o = originalIter.next();
CustomMergerTest.java,DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();,if (DefaultMapperFactory != null ) DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();
CustomMergerTest.java,MapperFactory factory = builder.build();,if (builder != null ) MapperFactory factory = builder.build();
CustomMergerTest.java,Collection<ChildEntity> originalEntities = originalEntity.getEntities();,if (originalEntity != null ) Collection<ChildEntity> originalEntities = originalEntity.getEntities();
CustomMergerTest.java,Iterator<ChildEntity> entitiesIter = entityHolder.getEntities().iterator();,if (entityHolder != null ) Iterator<ChildEntity> entitiesIter = entityHolder.getEntities().iterator();
CustomMergerTest.java,Iterator<ChildEntity> originalIter = originalEntity.getEntities().iterator();,if (originalEntity != null ) Iterator<ChildEntity> originalIter = originalEntity.getEntities().iterator();
CustomMergerTest.java,Entity e = entitiesIter.next();,if (entitiesIter != null ) Entity e = entitiesIter.next();
CustomMergerTest.java,Entity o = originalIter.next();,if (originalIter != null ) Entity o = originalIter.next();
CustomMergerTest.java,Set<Long> ids = new HashSet<>(srcDtos.size());,if (HashSet<>(srcDtos != null ) Set<Long> ids = new HashSet<>(srcDtos.size());
CustomMergerTest.java,"Entity memberEntity = findEntity(dstEntities, memberDto.getId());","if (memberDto != null ) Entity memberEntity = findEntity(dstEntities, memberDto.getId());"
CustomMergerTest.java,Set<Long> ids = new HashSet<>(srcDtos.size());,if (HashSet<>(srcDtos != null ) Set<Long> ids = new HashSet<>(srcDtos.size());
CustomMergerTest.java,"Entity memberEntity = findEntity(dstEntities, memberDto.getId());","if (memberDto != null ) Entity memberEntity = findEntity(dstEntities, memberDto.getId());"
Issue102TestCase.java,MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
Issue102TestCase.java,MapperFacade mapper = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapper = mapperFactory.getMapperFacade();
Issue105TestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue105TestCase.java,MapperFacade mapperFacade = factory.getMapperFacade();,if (factory != null ) MapperFacade mapperFacade = factory.getMapperFacade();
Issue109TestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
Issue109TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue113TestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
Issue113TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue126TestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
Issue126TestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
Issue128TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue128TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue132TestCase.java,MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
Issue132TestCase.java,MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
Issue132TestCase.java,MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
Issue140TestCase.java,MapperFactory OMF = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory OMF = new DefaultMapperFactory.Builder().build();
Issue140TestCase.java,MapperFacade mapper = OMF.getMapperFacade();,if (OMF != null ) MapperFacade mapper = OMF.getMapperFacade();
Issue141TestCase.java,MapperFacade mapper = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapper = mapperFactory.getMapperFacade();
Issue141TestCase.java,MapperFacade mapper = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapper = mapperFactory.getMapperFacade();
Issue148TestCase.java,DefaultMapperFactory.Builder factoryBuilder = new DefaultMapperFactory.Builder();,if (DefaultMapperFactory != null ) DefaultMapperFactory.Builder factoryBuilder = new DefaultMapperFactory.Builder();
Issue148TestCase.java,MapperFactory factory = factoryBuilder.build();,if (factoryBuilder != null ) MapperFactory factory = factoryBuilder.build();
Issue148TestCase.java,mapper = factory.getMapperFacade();,if (factory != null ) mapper = factory.getMapperFacade();
Issue14TestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
Issue14TestCase.java,Calendar cal = Calendar.getInstance();,if (Calendar != null ) Calendar cal = Calendar.getInstance();
Issue14TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue14TestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue160TestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue160TestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue161TestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue166TestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue166TestCase.java,MapperFacade beanMapper = factory.getMapperFacade();,if (factory != null ) MapperFacade beanMapper = factory.getMapperFacade();
Issue166TestCase.java,ParameterizedType parameterizedType = (ParameterizedType) readMethod.getGenericReturnType();,if (readMethod != null ) ParameterizedType parameterizedType = (ParameterizedType) readMethod.getGenericReturnType();
Issue167TestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue167TestCase.java,MapperFacade beanMapper = factory.getMapperFacade();,if (factory != null ) MapperFacade beanMapper = factory.getMapperFacade();
Issue175Test.java,DefaultMapperFactory mapper = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) DefaultMapperFactory mapper = new DefaultMapperFactory.Builder().build();
Issue176TestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue176TestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue176WithInterfacesTestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
Issue176WithInterfacesTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Issue176WithInterfacesTestCase.java,final MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) final MapperFactory factory = new DefaultMapperFactory.Builder().build();
